HexNotation,Hue,Saturation,Value,HueSpectrum,ValueSpectrum,SaturationSpectrum
#537B44,103.0089311,28.99038108,47.764178,Yellow/Green,Mid-Value,Dull
#662830,352.2226917,43.14699257,25.72986,Red/Purple,Dark,Medium
#282527,319.0305222,3.580183628,15.325454,Red/Purple,Darkest,Dullest
#D32E34,357.8354642,65.55381748,47.273657,Red/Purple,Mid-Value,Bright
#A85C64,353.6477665,30.42107388,48.148513,Red/Purple,Mid-Value,Dull
#CE995B,32.51572347,54.10252288,67.183409,Orange,light,Medium
#E19B2E,36.45302075,75.35005455,69.42037,Orange,light,Bright
#7B70B5,249.5980549,31.87806193,50.968526,Blue,Mid-Value,Dull
#742664,312.5841944,50.79502048,29.625167,Purple,Dark,Medium
#00577D,198.1767518,100,33.204614,Green/Blue,Dark,Brightest
#353368,241.7210905,33.7738272,24.35598,Blue,Dark,Dull
#1F274A,228.5391921,40.6396956,16.987089,Green/Blue,Darkest,Dull
#DF3453,349.0957412,73.02909149,50.547733,Red/Purple,Mid-Value,Bright
#152859,223.5350657,61.17939502,17.562378,Green/Blue,Darkest,Bright
#AE5A73,342.0062096,34.60746798,49.110039,Red/Purple,Mid-Value,Dull
#009FC1,190.370197,100,58.635075,Green/Blue,Mid-Value,Brightest
#60747B,195.438429,12.66196644,47.755754,Green/Blue,Mid-Value,Dullest
#2B5471,204.6239297,44.48210763,34.445234,Green/Blue,Dark,Medium
#B48964,28.05550917,34.97659714,60.630424,Red/Orange,Mid-Value,Dull
#D8B99A,29.77794491,44.11651719,77.158082,Red/Orange,light,Medium
#A1BF76,84.73133681,36.2557421,73.723085,Yellow,light,Dull
#464195,243.3785812,38.97654996,32.589958,Blue,Dark,Dull
#A563A0,304.6878331,27.17939957,51.4719,Purple,Mid-Value,Dull
#3C546D,210.1529578,28.62841139,35.036881,Green/Blue,Dark,Dull
#DF757F,354.3202774,63.13873133,61.737163,Red/Purple,light,Bright
#88796C,27.57496455,11.51332456,51.987843,Red/Orange,Mid-Value,Dullest
#F5D8A3,38.37797697,81.94163652,87.686241,Orange,Lightest,Brightest
#A9A39E,28.68282122,5.768419432,67.560344,Red/Orange,light,Dullest
#556C82,208.7422624,20.83645777,44.895221,Green/Blue,Mid-Value,Dullest
#822336,347.8153722,57.40647297,30.07356,Red/Purple,Dark,Medium
#5A504A,22.28409593,9.483640169,35.046591,Red/Orange,Dark,Dullest
#B21236,346.7003717,81.00743352,38.3099,Red/Purple,Dark,Brightest
#337248,139.8173917,38.20931307,43.196148,Green,Mid-Value,Dull
#83AD59,90.04466977,34.009386,66.327448,Yellow/Green,light,Dull
#555962,224.0549048,7.090363095,37.952285,Green/Blue,Dark,Dullest
#BB8D6B,25.67972332,37.49288073,62.524258,Red/Orange,light,Dull
#7A9BAC,200.150515,23.54049881,62.473845,Green/Blue,light,Dull
#9C5528,23.62110072,59.29199418,44.138308,Red/Orange,Mid-Value,Medium
#94553D,16.43917444,41.20283047,43.114761,Red/Orange,Mid-Value,Medium
#0083AB,194.0087515,100,49.739086,Green/Blue,Mid-Value,Brightest
#E97E8E,351.0722278,71.19783301,65.299634,Red/Purple,light,Bright
#8B66A3,276.0693293,25.18797351,49.088858,Purple,Mid-Value,Dull
#C791A9,332.761255,32.58961865,65.990049,Red/Purple,light,Dull
#598E61,129.2177772,22.6243193,54.425191,Green,Mid-Value,Dull
#BB6C3B,22.9032675,52.16503304,53.796941,Red/Orange,Mid-Value,Medium
#005056,183.5806341,100,30.748471,Green/Blue,Dark,Brightest
#A5562B,21.00204861,58.20813285,45.432339,Red/Orange,Mid-Value,Medium
