uid,company,url,color,industry,location,,,,
1,3m,3M-logo-079FB52BC8-seeklogo.com.gif,red,,global,,,,
2,seven-elevin,7-Eleven-logo-08AAB4F0FE-seeklogo.com.gif,green,retail,global,,,,
3,seven-elevin,7-Eleven-logo-08AAB4F0FE-seeklogo.com.gif,orange,retail,global,,,,
4,seven-elevin,7-Eleven-logo-08AAB4F0FE-seeklogo.com.gif,red,retail,global,,,,
5,seven-elevin,7-Eleven-logo-08AAB4F0FE-seeklogo.com.gif,white,retail,global,,,,
6,abarth,ABARTH-logo-6BC9F83420-seeklogo.com.gif,black,,,,,,
7,abarth,aBARTH-logo-6BC9F83420-seeklogo.com.gif,green,,,,,,
8,abarth,aBARTH-logo-6BC9F83420-seeklogo.com.gif,red,,,,,,
9,abarth,aBARTH-logo-6BC9F83420-seeklogo.com.gif,white,,,,,,
10,abarth,aBARTH-logo-6BC9F83420-seeklogo.com.gif,yellow,,,,,,
11,absolut,aBARTH-logo-6BC9F83420-seeklogo.com.gif,blue,beverage,global,,,,
12,ac-dc,AC_DC-logo-5E4A845A82-seeklogo.com.gif,black,entertainment,global,,,,
13,acer,Acer-logo-E212C99A64-seeklogo.com.gif,green,activewear,,,,,
14,adidas,adidas-logo-7CA12172A0-seeklogo.com.gif,black,activewear,global,,,,
15,adobe,Adobe-logo-CA83357377-seeklogo.com.gif,red,technology,global,,,,
16,aig,logo-aig.gif,blue,insurance,global,,,,
18,allianz,Allianz-logo-65E60546C3-seeklogo.com.gif,blue,,,,,,
19,amerisource,logo-amerisource-bergen.gif,blue,healthcare,na,,,,
20,android,Android-logo-8F906C4135-seeklogo.com.gif,blue,technology,global,,,,
21,android,Android-logo-8F906C4135-seeklogo.com.gif,green,technology,global,,,,
22,android,Android-logo-8F906C4135-seeklogo.com.gif,white,technology,global,,,,
23,arcelor,logo-arcelor-mittal.gif,orange,,,,,,
24,assicurazioni generali,logo-assicurazioni-generali.gif,red,,,,,,
25,att,logo-att.gif,black,telecommunications,global,,,,
27,att,logo-att.gif,blue,telecommunications,na,,,,
28,audi,Audi-logo-C1D51B9B5E-seeklogo.com.gif,gray,automotive,global,,,,
29,audi,Audi-logo-C1D51B9B5E-seeklogo.com.gif,red,automotive,global,,,,
30,aviva,logo-aviva.gif,blue,,,,,,
31,aviva,logo-aviva.gif,green,,,,,,
32,aviva,logo-aviva.gif,yellow,,,,,,
33,axa,logo-axa.gif,blue,,,,,,
34,axa,logo-axa.gif,red,,,,,,
35,axa,logo-axa.gif,white,,,,,,
36,barbie,Barbie-logo-80F19B7697-seeklogo.com.gif,blue,entertainment,global,,,,
37,barbie,Barbie-logo-80F19B7697-seeklogo.com.gif,pink,entertainment,global,,,,
38,basf,logo-basf.gif,black,checmical,global,,,,
39,basf,logo-basf.gif,gray,checmical,global,,,,
40,basf,logo-basf.gif,white,checmical,global,,,,
